EmployeeID	Week Ending	Hours
521	2-Jan	38.4
	9-Jan	38
	16-Jan	37.9
	23-Jan	37.5
	30-Jan	38.7
891	2-Jan	40.5
	9-Jan	40.7
	16-Jan	41.4
	23-Jan	41.4
	30-Jan	40.2
1233	2-Jan	27.8
	9-Jan	28.3
	16-Jan	27.2
	23-Jan	27.2
	30-Jan	28.3
480	2-Jan	40.6
	9-Jan	41.1
	16-Jan	40.8
	23-Jan	41
	30-Jan	41.2
499	2-Jan	35.7
	9-Jan	36.1
	16-Jan	35.3
	23-Jan	35.3
	30-Jan	37.4
1225	2-Jan	41.9
	9-Jan	43
	16-Jan	40.3
	23-Jan	43.4
	30-Jan	41
757	2-Jan	37.4
	9-Jan	39.8
	16-Jan	39.8
	23-Jan	37.7
	30-Jan	37.6
162	2-Jan	38
	9-Jan	39.2
	16-Jan	39.4
	23-Jan	37.7
	30-Jan	38.6
926	16-Jan	40.2
	23-Jan	41.6
	30-Jan	43.4
470	2-Jan	43.5
	9-Jan	41.5
431	2-Jan	42.2
	9-Jan	42.3
	16-Jan	42.1
	23-Jan	40.1
	30-Jan	40.9
1909	2-Jan	42.7
	9-Jan	41.6
	16-Jan	40.9
	23-Jan	41
	30-Jan	41.9
1358	2-Jan	26.1
	9-Jan	23
	16-Jan	27.3
	23-Jan	26.7
	30-Jan	28.8
1446	2-Jan	41.5
	9-Jan	41
	16-Jan	43.5
	23-Jan	40.6
	30-Jan	41.2
