Salesman ID	Date	Order ID	Bonus Base
1233	1/3/15	32332	1036.560
162	1/3/15	32333	1586.470
162	1/3/15	32334	1369.900
431	1/4/15	32335	1595.470
1281	1/4/15	32336	1630.410
162	1/4/15	32337	1016.600
162	1/4/15	32338	1681.650
470	1/5/15	32339	724.980
1233	1/5/15	32340	1186.480
1909	1/6/15	32341	813.460
162	1/7/15	32342	1071.950
1225	1/7/15	32343	735.840
431	1/7/15	32344	1553.240
431	1/7/15	32345	943.580
499	1/7/15	32346	1513.970
1233	1/7/15	32347	986.140
1281	1/8/15	32348	714.980
647	1/8/15	32349	1208.950
1225	1/9/15	32350	1663.330
480	1/9/15	32351	1354.470
647	1/9/15	32352	1407.360
480	1/10/15	32353	706.420
431	1/10/15	32354	981.490
1233	1/10/15	32355	1554.380
480	1/10/15	32356	1261.360
1233	1/10/15	32357	1396.920
470	1/10/15	32358	1402.080
1909	1/10/15	32359	1284.260
1233	1/10/15	32360	1437.970
162	1/11/15	32361	1554.490
480	1/12/15	32362	1436.440
1233	1/12/15	32363	1620.270
470	1/13/15	32364	1153.150
1225	1/13/15	32365	1247.150
470	1/13/15	32366	857.800
499	1/13/15	32367	1428.220
162	1/13/15	32368	1026.150
1225	1/14/15	32369	1396.200
647	1/14/15	32370	1224.860
431	1/14/15	32371	780.470
1281	1/14/15	32372	1221.460
1281	1/14/15	32373	868.080
1281	1/14/15	32374	1337.290
1909	1/14/15	32375	1133.130
470	1/14/15	32376	1082.580
647	1/14/15	32377	736.250
480	1/14/15	32378	706.070
162	1/14/15	32379	755.760
499	1/14/15	32380	852.760
162	1/15/15	32381	1585.060
431	1/15/15	32382	1104.850
1233	1/16/15	32383	834.960
647	1/16/15	32384	1690.750
480	1/17/15	32385	1078.090
480	1/18/15	32386	1130.930
1909	1/18/15	32387	959.940
647	1/19/15	32388	752.460
162	1/19/15	32389	1036.820
1225	1/20/15	32390	1227.830
1909	1/20/15	32391	878.860
1225	1/21/15	32392	1617.590
1909	1/22/15	32393	1593.000
1233	1/22/15	32394	1085.510
1909	1/23/15	32395	1143.040
480	1/24/15	32396	1138.800
431	1/24/15	32397	1416.920
470	1/24/15	32398	1029.070
1281	1/25/15	32399	1622.650
1233	1/26/15	32400	1069.280
1909	1/26/15	32401	1129.790
499	1/26/15	32402	957.320
647	1/26/15	32403	1535.660
162	1/26/15	32404	812.230
480	1/26/15	32405	1275.430
480	1/27/15	32406	855.750
431	1/27/15	32407	1603.740
1281	1/28/15	32408	1607.740
431	1/28/15	32409	1153.490
1281	1/29/15	32410	805.950
470	1/30/15	32411	1128.390
1281	1/31/15	32412	1125.600
431	1/31/15	32413	981.180
647	2/1/15	32414	1665.560
470	2/2/15	32415	1324.230
162	2/2/15	32416	768.610
1281	2/2/15	32417	1175.670
162	2/3/15	32418	1415.780
431	2/3/15	32419	1159.850
470	2/3/15	32420	822.240
431	2/3/15	32421	1535.970
1281	2/4/15	32422	754.980
1281	2/4/15	32423	1548.100
162	2/4/15	32424	1023.480
1225	2/4/15	32425	1394.110
1281	2/4/15	32426	1420.000
480	2/4/15	32427	729.240
1225	2/4/15	32428	732.850
1281	2/4/15	32429	714.460
162	2/4/15	32430	882.320
1909	2/4/15	32431	724.490
1909	2/4/15	32432	1027.110
1233	2/5/15	32433	709.890
431	2/6/15	32434	1548.150
1225	2/7/15	32435	922.920
1233	2/8/15	32436	1245.670
499	2/8/15	32437	1047.140
499	2/8/15	32438	1206.410
470	2/8/15	32439	1595.330
1909	2/8/15	32440	962.630
1233	2/9/15	32441	1367.790
470	2/9/15	32442	1622.660
1909	2/9/15	32443	1365.190
499	2/9/15	32444	948.990
499	2/9/15	32445	1571.760
1909	2/9/15	32446	1660.800
647	2/9/15	32447	1449.550
480	2/10/15	32448	1178.690
470	2/11/15	32449	1182.330
647	2/12/15	32450	1629.840
470	2/12/15	32451	1076.180
480	2/13/15	32452	1170.470
470	2/13/15	32453	728.830
162	2/13/15	32454	879.620
1909	2/13/15	32455	1153.900
470	2/13/15	32456	1281.330
431	2/14/15	32457	1550.470
1281	2/14/15	32458	1558.620
1909	2/14/15	32459	1223.040
